方案,种子,迭代,当前代价,历史最优代价,历史最优完成时间_s,历史最优能耗_kWh,历史最优架次
完成时间优先,4,5800,65177.81844828182,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,6100,65176.85199370558,65163.70745944062,6470.480649299858,67.78019328840963,24
完成时间优先,4,6200,64596.05726473466,64595.7048300915,6410.480649299858,72.1796674185836,26
完成时间优先,4,6700,64594.032180881804,64593.74735059644,6410.480649299858,71.7881715195719,26
完成时间优先,4,7000,64582.78469982268,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7100,64583.17406341773,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7200,64581.674890068796,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7400,64581.80242609733,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7500,64581.80242609733,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7600,64582.47580268355,64579.63096935719,6410.480649299858,69.96489527172167,25
完成时间优先,4,7900,64581.25841011023,64579.63096935719,6410.480649299858,69.96489527172167,25
均衡,0,200,36764.00237760354,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,300,38559.37709375148,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,400,37749.663533809944,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,500,37481.5342555244,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,600,37158.05459404028,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,700,37319.619501981215,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,800,36997.09415887523,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,900,37440.08887253291,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,1000,35853.07432953489,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,1100,35927.45640847576,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,1200,35922.37679475536,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,1500,34995.700646953985,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,1800,34909.187041542624,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2100,34878.75029603512,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2300,34740.10465422366,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2500,34749.67674417676,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2600,34811.30101561526,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2700,34750.243283551565,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2800,34704.2145597261,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,2900,34653.13343741473,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,3000,34687.35024420992,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,3100,34683.620742236926,33946.945569689226,6539.12979236453,68.35938592441566,23
均衡,0,3400,33641.26804359075,33637.11486829841,7669.291857516675,65.55941003593914,21
均衡,0,3600,33589.66002883785,33589.66002883785,7669.291857516675,65.40122723773723,21
均衡,0,3800,33600.60781007812,33589.66002883785,7669.291857516675,65.40122723773723,21
均衡,0,3900,33627.80490056194,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4200,33649.72130573694,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4300,33648.52234786164,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4400,33681.78244263977,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4600,33609.741627170464,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4700,33609.741627170464,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,4800,33620.102659938246,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,5100,33644.369172569306,33553.66866540292,7626.505888133808,65.42387592423036,21
均衡,0,5200,33645.5681304446,33553.66866540292,7626.505888133808,65.42387592423036,21
