起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
S006,S003,4800.9434810431785,305.1272277832031,338.51068115234375,612.3626708984375,662.3626708984375,357.2354431152344,323.85198974609375,229
S006,S004,8705.952748348886,305.1272277832031,225.11575317382812,375.2806396484375,425.2806396484375,120.15341186523438,200.16488647460938,391
S006,S005,6107.117577366371,305.1272277832031,199.03955078125,366.7322998046875,416.7322998046875,111.60507202148438,217.6927490234375,278
S006,S007,2507.441601042661,305.1272277832031,344.2220458984375,540.361328125,590.361328125,285.2341003417969,246.1392822265625,104
S006,S008,8061.405516680072,305.1272277832031,278.2891845703125,517.8421020507812,567.8421020507812,262.7148742675781,289.55291748046875,306
S006,S009,7669.049605901025,305.1272277832031,219.4370880126953,341.0712890625,391.0712890625,85.94406127929688,171.6342010498047,368
S006,S010,7921.288809552765,305.1272277832031,351.5816650390625,383.2227783203125,433.2227783203125,128.09555053710938,81.64111328125,318
S006,S011,3409.7212874962756,305.1272277832031,208.04286193847656,350.46759033203125,400.46759033203125,95.34036254882812,192.4247283935547,162
S006,S012,9989.794407069843,305.1272277832031,283.31507873535156,385.3490295410156,435.3490295410156,130.2218017578125,152.03395080566406,469
S006,S013,7782.690955229032,305.1272277832031,351.70806884765625,344.1709289550781,394.1709289550781,89.043701171875,42.462860107421875,343
S006,S014,8596.785989800881,305.1272277832031,350.9825134277344,556.662109375,606.662109375,301.5348815917969,255.67959594726562,312
S006,S015,4684.460294091272,305.1272277832031,466.229248046875,601.2601318359375,651.2601318359375,346.1329040527344,185.0308837890625,177
S007,O01,4534.460184091202,344.2220458984375,128.7255401611328,461.9731750488281,511.9731750488281,167.75112915039062,383.2476348876953,213
S007,S001,5187.883012423533,344.2220458984375,183.96136474609375,389.17535400390625,439.17535400390625,94.95330810546875,255.2139892578125,198
S007,S002,8118.280839235915,344.2220458984375,218.7942352294922,424.7281799316406,474.7281799316406,130.50613403320312,255.93394470214844,385
S007,S003,2734.2604355003687,344.2220458984375,338.51068115234375,360.6993408203125,410.6993408203125,66.477294921875,72.18865966796875,126
S007,S004,7096.417576008999,344.2220458984375,225.11575317382812,543.2369995117188,593.2369995117188,249.01495361328125,368.1212463378906,338
S007,S005,4687.96907971755,344.2220458984375,199.03955078125,467.1478271484375,517.1478271484375,172.92578125,318.1082763671875,225
S007,S006,2507.441601042661,344.2220458984375,305.1272277832031,540.361328125,590.361328125,246.1392822265625,285.2341003417969,104
S007,S008,5911.481410322536,344.2220458984375,278.2891845703125,606.739501953125,656.739501953125,312.5174560546875,378.4503173828125,253
S007,S009,6907.711673971912,344.2220458984375,219.4370880126953,418.3708190917969,468.3708190917969,124.14877319335938,248.93373107910156,315
S007,S010,8599.961183988793,344.2220458984375,351.5816650390625,386.94964599609375,436.94964599609375,92.72760009765625,85.36798095703125,337
S007,S011,2834.028279436124,344.2220458984375,208.04286193847656,389.17535400390625,439.17535400390625,94.95330810546875,231.1324920654297,109
S007,S012,9663.236748745567,344.2220458984375,283.31507873535156,407.66363525390625,457.66363525390625,113.44158935546875,174.3485565185547,416
S007,S013,8054.988131541601,344.2220458984375,351.70806884765625,382.5381164550781,432.5381164550781,88.31607055664062,80.83004760742188,290
S007,S014,9684.060004227347,344.2220458984375,350.9825134277344,530.8557739257812,580.8557739257812,236.63372802734375,229.87326049804688,415
S007,S015,2219.359082365278,344.2220458984375,466.229248046875,452.918212890625,502.918212890625,158.6961669921875,36.68896484375,74
S008,O01,8079.030930812008,278.2891845703125,128.7255401611328,322.9093322753906,372.9093322753906,94.62014770507812,244.1837921142578,321
S008,S001,5968.2065583004005,278.2891845703125,183.96136474609375,316.78717041015625,366.78717041015625,88.49798583984375,182.8258056640625,276
S008,S002,4802.361470158326,278.2891845703125,218.7942352294922,331.8424987792969,381.8424987792969,103.55331420898438,163.0482635498047,199
S008,S003,6254.0682125280555,278.2891845703125,338.51068115234375,746.0787353515625,796.0787353515625,517.78955078125,457.56805419921875,300
S008,S004,2611.5962906666523,278.2891845703125,225.11575317382812,336.83349609375,386.83349609375,108.5443115234375,161.71774291992188,98
S008,S005,3040.168981138036,278.2891845703125,199.03955078125,316.78717041015625,366.78717041015625,88.49798583984375,167.74761962890625,141
S008,S006,8061.405516680072,278.2891845703125,305.1272277832031,517.8421020507812,567.8421020507812,289.55291748046875,262.7148742675781,306
S008,S007,5911.481410322536,278.2891845703125,344.2220458984375,606.739501953125,656.739501953125,378.4503173828125,312.5174560546875,253
S008,S009,5018.2697048009395,278.2891845703125,219.4370880126953,338.620361328125,388.620361328125,110.3311767578125,169.1832733154297,237
S008,S010,9292.963465560637,278.2891845703125,351.5816650390625,419.0903015136719,469.0903015136719,190.80111694335938,117.50863647460938,445
S008,S011,5327.210001304207,278.2891845703125,208.04286193847656,362.91650390625,412.91650390625,134.6273193359375,204.87364196777344,199
S008,S012,7727.831737452086,278.2891845703125,283.31507873535156,309.1531982421875,359.1531982421875,80.864013671875,75.83811950683594,344
S008,S013,8054.016253968996,278.2891845703125,351.70806884765625,336.37310791015625,386.37310791015625,108.08392333984375,34.6650390625,386
S008,S014,10974.33312559555,278.2891845703125,350.9825134277344,542.4922485351562,592.4922485351562,314.20306396484375,241.50973510742188,523
S008,S015,3928.8933093308406,278.2891845703125,466.229248046875,660.450927734375,710.450927734375,432.1617431640625,244.2216796875,182
S009,O01,5705.144195097976,219.4370880126953,128.7255401611328,243.22891235351562,293.2289123535156,73.79182434082031,164.5033721923828,253
S009,S001,2651.198124379607,219.4370880126953,183.96136474609375,243.22891235351562,293.2289123535156,73.79182434082031,109.26754760742188,118
S009,S002,1724.5462900261098,219.4370880126953,218.7942352294922,278.2866516113281,328.2866516113281,108.84956359863281,109.49241638183594,71
S009,S003,8897.53655121922,219.4370880126953,338.51068115234375,544.588134765625,594.588134765625,375.1510467529297,256.07745361328125,362
S009,S004,2985.0882671440727,219.4370880126953,225.11575317382812,275.2157897949219,325.2157897949219,105.77870178222656,100.10003662109375,140
S009,S005,2649.9224926160323,219.4370880126953,199.03955078125,313.5632019042969,363.5632019042969,144.12611389160156,164.52365112304688,97
S009,S006,7669.049605901025,219.4370880126953,305.1272277832031,341.0712890625,391.0712890625,171.6342010498047,85.94406127929688,368
S009,S007,6907.711673971912,219.4370880126953,344.2220458984375,418.3708190917969,468.3708190917969,248.93373107910156,124.14877319335938,315
S009,S008,5018.2697048009395,219.4370880126953,278.2891845703125,338.620361328125,388.620361328125,169.1832733154297,110.3311767578125,237
S009,S010,4564.123815514201,219.4370880126953,351.5816650390625,432.957275390625,482.957275390625,263.5201873779297,131.3756103515625,209
S009,S011,4325.128640391164,219.4370880126953,208.04286193847656,265.66766357421875,315.66766357421875,96.23057556152344,107.62480163574219,207
S009,S012,2972.7013019717538,219.4370880126953,283.31507873535156,310.91961669921875,360.91961669921875,141.48252868652344,77.60453796386719,108
S009,S013,3211.1410478129274,219.4370880126953,351.70806884765625,322.2989807128906,372.2989807128906,152.8618927001953,20.590911865234375,150
S009,S014,6315.453441945112,219.4370880126953,350.9825134277344,502.7727966308594,552.7727966308594,333.33570861816406,201.790283203125,287
S009,S015,6362.7369164593365,219.4370880126953,466.229248046875,532.3267822265625,582.3267822265625,362.8896942138672,116.0975341796875,244
S010,O01,4784.494403064056,351.5816650390625,128.7255401611328,385.63653564453125,435.63653564453125,84.05487060546875,306.91099548339844,203
S010,S001,3709.8939763366066,351.5816650390625,183.96136474609375,381.0796813964844,431.0796813964844,79.49801635742188,247.11831665039062,170
S010,S002,5917.035410822842,351.5816650390625,218.7942352294922,441.85394287109375,491.85394287109375,140.27227783203125,273.05970764160156,247
S010,S003,11224.339839391723,351.5816650390625,338.51068115234375,466.96417236328125,516.9641723632812,165.38250732421875,178.4534912109375,462
S010,S004,7545.20377852379,351.5816650390625,225.11575317382812,432.957275390625,482.957275390625,131.3756103515625,257.8415222167969,348
S010,S005,6361.356798248384,351.5816650390625,199.03955078125,416.15325927734375,466.15325927734375,114.57159423828125,267.11370849609375,305
