运输架次编号,通信阶段,开始时刻_s,结束时刻_s,保障方式,中继架次编号
T21,爬升,7646.957147524603,7682.579791567571,直连,
T21,巡航,7682.579791567571,7886.178381133235,直连,
T21,下降,7886.178381133235,7958.856686186946,直连,
T22,爬升,6259.0,6407.033085123698,直连,
T22,巡航,6407.033085123698,6604.258271280924,直连,
T22,巡航,6604.258271280924,6807.658616554322,中继,RS03
T22,下降,6807.658616554322,6846.57831870276,中继,RS03
T22,投送,6846.57831870276,7056.57831870276,中继,RS03
T22,爬升,7056.57831870276,7089.011403826458,中继,RS03
T22,巡航,7089.011403826458,7284.752850956615,中继,RS03
T22,巡航,7284.752850956615,7489.636935257076,直连,
T22,下降,7489.636935257076,7667.276637405514,直连,
